iter	Passed	Remaining
360	23872	42255
361	23938	42190
362	24003	42121
363	24069	42055
364	24139	41996
365	24240	41989
366	24310	41930
367	24379	41869
368	24453	41816
369	24521	41753
370	24591	41693
371	24657	41625
372	24730	41571
373	24798	41507
374	24867	41446
375	24933	41378
376	25026	41356
377	25092	41289
378	25165	41234
379	25235	41173
380	25303	41110
381	25365	41036
382	25431	40969
383	25495	40899
384	25566	40840
385	25633	40774
386	25702	40712
387	25775	40656
388	25844	40593
389	25917	40538
390	25982	40469
391	26062	40422
392	26134	40364
393	26203	40302
394	26275	40245
395	26344	40182
396	26412	40117
397	26495	40075
398	26557	40002
399	26637	39955
